City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Gigmoto,PH,2022-03-16 14:47:47,13.7796,124.39,79.68,89,74,6.22
226,Vanimo,PG,2022-03-16 14:47:47,-2.6741,141.3028,78.46,88,100,6.33
227,Lavrentiya,RU,2022-03-16 14:47:47,65.5833,-171.0,-4.88,85,3,7.2
228,Bambari,CF,2022-03-16 14:47:48,5.768,20.6757,101.61,10,35,5.48
229,Pisco,PE,2022-03-16 14:47:48,-13.7,-76.2167,75.25,69,14,4.61
230,Ribeira Grande,PT,2022-03-16 14:47:48,38.5167,-28.7,61.2,59,75,16.11
231,Dakar,SN,2022-03-16 14:47:13,14.6937,-17.4441,83.28,64,0,11.5
232,Kahului,US,2022-03-16 14:47:49,20.8947,-156.47,75.85,88,0,13.0
233,Kaolack,SN,2022-03-16 14:47:49,14.1825,-16.2533,97.09,10,25,8.81
234,Vestmannaeyjar,IS,2022-03-16 14:47:50,63.4427,-20.2734,32.99,80,100,23.02
235,Saint-Pierre,RE,2022-03-16 14:47:50,-21.3393,55.4781,82.08,80,100,8.05
236,Inhambane,MZ,2022-03-16 14:47:50,-23.865,35.3833,76.77,90,97,15.19
237,Bilma,NE,2022-03-16 14:47:51,18.6853,12.9164,86.56,7,5,9.6
238,Nola,IT,2022-03-16 14:47:51,40.922,14.5329,63.36,49,25,4.0
239,Coos Bay,US,2022-03-16 14:45:08,43.3665,-124.2179,43.23,99,75,0.0
240,Bagdarin,RU,2022-03-16 14:47:51,54.4333,113.6,-13.76,93,16,4.09
241,Henties Bay,NA,2022-03-16 14:47:52,-22.116,14.2845,66.22,71,2,9.46
242,Shyroke,UA,2022-03-16 14:47:52,47.6917,33.2571,36.18,43,30,9.6
243,Quatis,BR,2022-03-16 14:47:53,-22.4072,-44.2581,85.69,62,35,3.67
244,Libourne,FR,2022-03-16 14:47:53,44.9167,-0.25,62.58,68,100,6.51
245,Pangody,RU,2022-03-16 14:47:53,65.85,74.4859,22.53,95,100,13.78
246,Goderich,CA,2022-03-16 14:47:54,43.7501,-81.7165,37.9,93,100,5.75
247,Xapuri,BR,2022-03-16 14:47:54,-10.6517,-68.5044,83.55,60,86,4.85
248,Meulaboh,ID,2022-03-16 14:47:54,4.1363,96.1285,75.7,95,100,1.7
249,San Marco In Lamis,IT,2022-03-16 14:47:55,41.7131,15.6399,60.21,59,12,3.44
250,Tezu,IN,2022-03-16 14:47:55,27.9167,96.1667,75.34,30,66,4.88
251,Qaanaaq,GL,2022-03-16 14:47:55,77.484,-69.3632,-10.14,73,100,9.37
252,Shakawe,BW,2022-03-16 14:47:56,-18.3667,21.85,78.53,59,94,3.53
253,Diamantino,BR,2022-03-16 14:47:56,-14.4086,-56.4461,84.94,62,85,4.29
254,Calabozo,VE,2022-03-16 14:47:56,8.9242,-67.4293,89.87,42,69,10.09
255,Kolchugino,RU,2022-03-16 14:43:13,56.3,39.3833,19.9,88,100,3.78
256,Brive-La-Gaillarde,FR,2022-03-16 14:47:57,45.25,1.5,63.84,24,100,2.73
257,Inirida,CO,2022-03-16 14:47:57,3.8653,-67.9239,75.52,94,99,2.89
258,Nyurba,RU,2022-03-16 14:47:58,63.2842,118.3319,-18.11,100,73,2.55
259,Broken Hill,AU,2022-03-16 14:47:58,-31.95,141.4333,73.11,73,100,4.61
260,Olafsvik,IS,2022-03-16 14:47:58,64.8945,-23.7142,31.05,57,100,24.47
261,Kitui,KE,2022-03-16 14:47:59,-1.367,38.0106,85.46,29,41,13.8
262,Arvika,SE,2022-03-16 14:47:59,59.6553,12.5852,36.21,81,84,4.9
263,San Juan,AR,2022-03-16 14:43:25,-31.5375,-68.5364,89.65,20,1,9.53
264,Chulman,RU,2022-03-16 14:48:00,56.8479,124.9104,0.19,95,100,9.17
265,Nome,US,2022-03-16 14:48:00,64.5011,-165.4064,-0.33,71,0,0.0
266,Smithers,CA,2022-03-16 14:45:26,54.7804,-127.1743,30.52,93,75,2.3
267,Rawson,AR,2022-03-16 14:48:00,-43.3002,-65.1023,78.62,24,3,1.52
268,Guilin,CN,2022-03-16 14:48:01,25.2819,110.2864,69.91,83,66,4.18
269,Port-Cartier,CA,2022-03-16 14:43:58,50.0334,-66.8654,22.75,93,100,6.04
270,Umm Bab,QA,2022-03-16 14:48:01,25.2142,50.8072,65.95,56,0,26.96
271,Rio Grande,BR,2022-03-16 14:45:56,-32.035,-52.0986,84.31,67,16,17.49
272,Port Elizabeth,ZA,2022-03-16 14:48:02,-33.918,25.5701,71.89,69,20,12.66
273,Swellendam,ZA,2022-03-16 14:49:02,-34.0226,20.4417,74.62,48,4,14.27
274,San Roque,ES,2022-03-16 14:49:03,36.2107,-5.3842,58.03,63,75,9.22
275,Xichang,CN,2022-03-16 14:49:03,27.8964,102.2634,60.57,63,100,2.82
276,Kangly,RU,2022-03-16 14:49:03,44.2544,43.0308,24.85,74,100,11.18
277,Manacapuru,BR,2022-03-16 14:49:04,-3.2997,-60.6206,83.86,71,18,3.33
278,Rudbar,AF,2022-03-16 14:49:04,30.15,62.6,89.47,6,0,6.78
279,Iquitos,PE,2022-03-16 14:49:04,-3.7481,-73.2472,78.84,83,75,2.3
280,Groton,US,2022-03-16 14:49:05,41.3501,-72.0784,54.01,63,0,5.75
281,Vila Franca Do Campo,PT,2022-03-16 14:49:05,37.7167,-25.4333,61.21,55,100,7.18
282,Cap Malheureux,MU,2022-03-16 14:49:05,-19.9842,57.6142,79.47,86,61,5.03
283,Avallon,FR,2022-03-16 14:49:06,47.4833,3.9,68.88,51,83,2.71
284,Wagga Wagga,AU,2022-03-16 14:49:06,-35.1167,147.3667,70.21,68,75,9.22
285,Sunagawa,JP,2022-03-16 14:49:07,43.4864,141.9056,32.65,99,100,3.29
286,Torbay,CA,2022-03-16 14:49:07,47.6666,-52.7314,27.88,49,75,9.22
287,Salvador,SV,2022-03-16 14:46:06,13.8333,-88.9167,77.4,54,8,3.78
288,Mangaluru,IN,2022-03-16 14:49:07,12.8667,74.8833,85.06,74,40,3.44
289,Qui Nhon,VN,2022-03-16 14:49:08,13.7667,109.2333,73.53,89,81,5.77
290,Iskateley,RU,2022-03-16 14:49:08,67.6803,53.1512,20.68,96,100,8.08
291,Tripoli,LY,2022-03-16 14:44:36,32.8752,13.1875,69.37,32,92,21.74
292,Mahibadhoo,MV,2022-03-16 14:49:09,3.7833,72.9667,83.34,74,100,9.64
